code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
002253,川大智胜,-0.549,12.68,12.9,12.94,12.66,12.75,1011900,0.48796000000000006,12902417,55.13,2.042,286093.88846,262947.973692,2021-03-10
002252,上海莱士,-1.5270000000000001,7.74,7.86,7.95,7.72,7.86,23399304,0.4706,182603121,64.5,2.02,5217369.840018,3848544.487026,2021-03-10
002251,步 步 高,0.639,7.88,7.89,7.97,7.72,7.83,4375226,0.5064500000000001,34404311,39.4,0.92,680756.313388,680756.313388,2021-03-10
002250,联化科技,-1.31,22.6,23.12,23.26,22.45,22.9,3309111,0.36039000000000004,75498871,141.25,3.404,2086536.53856,2075162.5552,2021-03-10
002249,大洋电机,5.5440000000000005,4.95,4.71,5.16,4.64,4.69,139779613,8.30092,689697668,247.5,1.4060000000000001,1170937.43118,833533.0047,2021-03-10
002248,华东数控,-0.667,4.47,4.55,4.6,4.42,4.5,2350601,0.79246,10622777,49.667,24.307,137450.5332,132590.292366,2021-03-10
002247,*ST聚力,5.025,2.09,1.97,2.09,1.96,1.99,16914267,2.92088,34772998,-1.124,2.93,177831.840241,121028.015317,2021-03-10
002246,北化股份,-2.34,6.26,6.47,6.47,6.26,6.41,2179500,0.39697000000000005,13805650,25.04,1.346,343695.781044,343695.781044,2021-03-10
002245,蔚蓝锂芯,0.537,9.36,9.6,9.79,9.33,9.31,21424199,2.21099,204441542,33.051,3.66,969528.948336,906970.921272,2021-03-10
002244,滨江集团,0.0,4.63,4.62,4.67,4.55,4.63,16489767,0.61246,76113855,8.904,0.846,1440598.52107,1246576.26442,2021-03-10
002243,力合科创,-3.959,9.46,9.94,9.94,9.44,9.85,4738580,0.9531600000000001,45602747,20.538,2.07,1145231.591174,470299.552184,2021-03-10
002242,九阳股份,-1.331,34.09,33.87,35.06,33.58,34.55,4525036,0.59214,154652258,31.86,6.562,2615279.121,2605099.91518,2021-03-10
002241,歌尔股份,-1.9929999999999999,30.49,31.7,31.98,30.21,31.11,66387697,2.26696,2050118897,76.225,5.659,10267760.01818,8928962.793305,2021-03-10
002240,盛新锂能,0.34900000000000003,20.14,20.88,20.97,20.0,20.07,20528948,2.94796,420917514,-183.091,4.626,1509914.042812,1402505.124838,2021-03-10
